id;kota;provinsi;hsbgn
Kota_358;KUTAI TIMUR;Kalimantan Timur;7542298
Kota_360;PASER;Kalimantan Timur;7542298
Kota_361;PENAJAM PASER UTARA;Kalimantan Timur;7542298
Kota_468;PULAU MOROTAI;Maluku Utara;7560000
Kota_2;KOTA JAKARTA BARAT;DKI Jakarta;7586202.745
Kota_6;KOTA JAKARTA UTARA;DKI Jakarta;7608538.291
Kota_362;KOTA BALIKPAPAN;Kalimantan Timur;7620000
Kota_368;TANA TIDUNG;Kalimantan Utara;7666091
Kota_365;BULUNGAN;Kalimantan Utara;7666641
Kota_366;MALINAU;Kalimantan Utara;7670000
Kota_464;HALMAHERA TENGAH;Maluku Utara;7680000
Kota_151;SELUMA;Bengkulu;7712000
Kota_283;DOMPU;Nusa Tenggara Barat;7730000
Kota_367;NUNUKAN;Kalimantan Utara;7734109
Kota_115;TANGERANG;Banten;7754400
Kota_456;MALUKU TENGAH;Maluku;7790000
Kota_356;KUTAI BARAT;Kalimantan Timur;7820000
Kota_324;SEKADAU;Kalimantan Barat;7870000
Kota_3;KOTA JAKARTA PUSAT;DKI Jakarta;7910068.172
Kota_322;SAMBAS;Kalimantan Barat;8020000
Kota_459;SERAM BAGIAN TIMUR;Maluku;8126013
Kota_457;MALUKU TENGGARA;Maluku;8130168
Kota_458;SERAM BAGIAN BARAT;Maluku;8130168
Kota_1;KEPULAUAN SERIBU;DKI Jakarta;8144591.412
Kota_295;FLORES TIMUR;Nusa Tenggara Timur;8146618
Kota_296;KUPANG;Nusa Tenggara Timur;8146618
Kota_297;LEMBATA;Nusa Tenggara Timur;8146618
Kota_299;MANGGARAI;Nusa Tenggara Timur;8146618
Kota_300;MANGGARAI BARAT;Nusa Tenggara Timur;8146618
Kota_472;BIAK NUMFOR;Papua;8305258
Kota_321;MEMPAWAH;Kalimantan Barat;8380000
Kota_473;JAYAPURA;Papua;8450000
Kota_467;KEPULAUAN SULA;Maluku Utara;8590000
Kota_455;MALUKU BARAT DAYA;Maluku;8995642
Kota_452;BURU SELATAN;Maluku;9010000
Kota_305;SABU RAIJUA;Nusa Tenggara Timur;9080618
Kota_474;KEEROM;Papua;9198665
Kota_475;KEPULAUAN YAPEN;Papua;9214765
Kota_477;SARMI;Papua;9257528
Kota_479;WAROPEN;Papua;9257528
Kota_478;SUPIORI;Papua;9276728
Kota_408;BANGGAI LAUT;Sulawesi Tengah;12050000
Kota_485;PEGUNUNGAN ARFAK;Papua Barat;13290166
Kota_492;TAMBRAUW;Papua Barat Daya;13290166
Kota_502;ASMAT;Papua Selatan;13290166
Kota_504;MAPPI;Papua Selatan;13290166
Kota_500;YALIMO;Papua Pegunungan;14910000
Kota_495;LANNY JAYA;Papua Pegunungan;16102148
Kota_499;TOLIKARA;Papua Pegunungan;16102148
Kota_501;YAHUKIMO;Papua Pegunungan;16102148
Kota_496;MAMBERAMO TENGAH;Papua Pegunungan;18294629
Kota_494;JAYAWIJAYA;Papua Pegunungan;18730000
Kota_497;NDUGA;Papua Pegunungan;22061629
Kota_498;PEGUNUNGAN BINTANG;Papua Pegunungan;23510000
Kota_346;KATINGAN;Kalimantan Tengah;23849148
Kota_348;KOTAWARINGIN TIMUR;Kalimantan Tengah;23849148
Kota_349;LAMANDAU;Kalimantan Tengah;23849148
Kota_476;MAMBERAMO RAYA;Papua;27653388
Kota_506;DEIYAI;Papua Tengah;30977388
Kota_507;DOGIYAI;Papua Tengah;30977388
Kota_511;PANIAI;Papua Tengah;30977388
Kota_513;PUNCAK JAYA;Papua Tengah;30977388
Kota_512;PUNCAK;Papua Tengah;33788869
Kota_508;INTAN JAYA;Papua Tengah;35890000
Kota_140;KOTA LHOKSEUMAWE;Aceh;
Kota_141;KOTA SABANG;Aceh;
Kota_142;KOTA SUBULUSSALAM;Aceh;
Kota_152;KOTA BENGKULU;Bengkulu;
Kota_162;KOTA JAMBI;Jambi;
Kota_170;KOTA TANJUNGPINANG;Riau;
Kota_177;KOTA PANGKALPINANG;Bangka Belitung;
Kota_189;TULANG BAWANG BARAT;Lampung;
Kota_191;KOTA BANDAR LAMPUNG;Lampung;
Kota_192;KOTA METRO;Lampung;
Kota_203;KOTA DUMAI;Riau;
Kota_204;KOTA PEKANBARU;Riau;
Kota_216;KOTA BUKITTINGGI;Sumatera Barat;
Kota_217;KOTA PADANG;Sumatera Barat;
Kota_218;KOTA PADANG PANJANG;Sumatera Barat;
Kota_219;KOTA PARIAMAN;Sumatera Barat;
Kota_220;KOTA PAYAKUMBUH;Sumatera Barat;
Kota_221;KOTA SAWAHLUNTO;Sumatera Barat;
Kota_222;KOTA SOLOK;Sumatera Barat;
Kota_236;KOTA LUBUK LINGGAU;Sumatera Selatan;
Kota_237;KOTA PAGARALAM;Sumatera Selatan;
Kota_238;KOTA PALEMBANG;Sumatera Selatan;
Kota_239;KOTA PRABUMULIH;Sumatera Selatan;
Kota_265;KOTA BINJAI;Sumatera Utara;
Kota_266;KOTA GUNUNGSITOLI;Sumatera Utara;
Kota_267;KOTA MEDAN;Sumatera Utara;
Kota_268;KOTA PADANGSIDIMPUAN;Sumatera Utara;
Kota_269;KOTA PEMATANGSIANTAR;Sumatera Utara;
Kota_270;KOTA SIBOLGA;Sumatera Utara;
Kota_271;KOTA TANJUNGBALAI;Sumatera Utara;
Kota_272;KOTA TEBING TINGGI;Sumatera Utara;
Kota_291;KOTA MATARAM;Nusa Tenggara Barat;
Kota_313;KOTA KUPANG;Nusa Tenggara Timur;
Kota_326;KOTA PONTIANAK;Kalimantan Barat;
Kota_327;KOTA SINGKAWANG;Kalimantan Barat;
